Naam_2;?ID;RegioS;Perioden;Bevolkingsdichtheid_57;GemiddeldeHuishoudensgrootte_89;Woningdichtheid_93;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;Woningen_97;NietWoningen_98;GemiddeldeWoningwaarde_99;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_122;TypeEenpersoonshuishouden_123;TypeEenoudergezin_124;TypePaarZonderKind_125;TypePaarMetKindEren_126;BronInkomenAlsWerknemer_127;BronInkomenAlsZelfstandige_128;BronOverdrachtsinkomen_129;WoningbezitEigenWoning_130;WoningbezitHuurwoning_131
Aa en Hunze;1596;GM1680;1995JJ00;;;;;;;;;;;;;;;;;;;;
Aa en Hunze;1597;GM1680;1996JJ00;;;;;;;;;;;;;;;;;;;;
Aa en Hunze;1598;GM1680;1997JJ00;;;;;;;;;;;;;;;;;;;;
Aa en Hunze;1599;GM1680;1998JJ00;89;2.48;35;.;.;.;736;233;79;;;;;;;;;;;
Aa en Hunze;1600;GM1680;1999JJ00;89;2.45;36;.;.;.;749;236;80;;;;;;;;;;;
Aa en Hunze;1601;GM1680;2000JJ00;89;2.44;36;.;.;.;763;241;80;;;;;;;;;;;
Aa en Hunze;1602;GM1680;2001JJ00;91;2.43;36;.;.;.;1336;284;139;;;;;;;;;;;
Aa en Hunze;1603;GM1680;2002JJ00;92;2.43;37;.;.;.;1353;305;140;;;;;;;;;;;
Aa en Hunze;1604;GM1680;2003JJ00;91;2.41;37;.;.;.;1366;308;140;;;;;;;;;;;
Aa en Hunze;1605;GM1680;2004JJ00;91;2.40;37;.;.;.;1387;312;141;;;;;;;;;;;
Aa en Hunze;1606;GM1680;2005JJ00;91;2.40;37;.;.;.;2141;338;212;;;;;;;;;;;
Aa en Hunze;1607;GM1680;2006JJ00;92;2.39;38;69.8;27.7;2.5;2161;360;212;;;;;;;;;;;
Aa en Hunze;1608;GM1680;2007JJ00;92;2.37;38;69.9;27.7;2.4;2478;414;239;;;;;;;;;;;
Aa en Hunze;1609;GM1680;2008JJ00;92;2.36;38;70.7;27.4;1.9;2658;473;253;5.0;;;;;;;;;;
Aa en Hunze;1610;GM1680;2009JJ00;93;2.34;39;71.5;28.2;0.3;2765;465;261;5.0;;;;;;;;;;
Aa en Hunze;1611;GM1680;2010JJ00;92;2.34;39;69.9;29.8;0.3;2808;494;263;5.3;;;;;;;;;;
Aa en Hunze;1612;GM1680;2011JJ00;93;2.29;39;70.3;29.4;0.3;2788;512;261;5.0;38.5;21.7;31.4;40.5;52.2;45.2;54.8;27.8;44.4;23.2
Aa en Hunze;1613;GM1680;2012JJ00;93;2.28;45;67.1;25.8;7.1;2723;511;254;4.7;39.1;21.8;30.9;41.5;53.2;45.7;56.2;28.7;45.3;23.1
Aa en Hunze;1614;GM1680;2013JJ00;92;2.26;41;71.0;27.0;2.0;2573;461;240;5.1;39.3;22.0;31.8;41.8;53.8;46.2;55.4;29.1;45.5;23.2
Aa en Hunze;1615;GM1680;2014JJ00;92;2.28;40;70.7;27.8;1.5;2405;444;224;5.7;41.9;23.8;34.0;43.5;57.3;47.3;63.5;31.6;47.9;24.8
Aa en Hunze;1616;GM1680;2015JJ00;91;2.27;40;70.6;28.2;1.2;2332;440;217;5.8;41.6;23.9;33.7;43.5;56.7;49.3;55.3;30.7;47.6;24.6
Aa en Hunze;1617;GM1680;2016JJ00;91;2.26;40;71.1;27.4;1.5;2339;437;217;5.7;43.4;25.5;34.8;44.4;60.0;50.7;58.6;32.5;49.5;25.4
Aa en Hunze;1618;GM1680;2017JJ00;92;2.25;40;70.7;27.7;1.6;2406;376;227;5.6;44.6;24.9;35.6;46.2;63.3;51.4;66.2;32.9;51.3;25.7
Aa en Hunze;1619;GM1680;2018JJ00;92;2.24;40;73.1;25.4;1.5;2543;383;229;6.0;45.6;25.7;36.6;47.4;64.2;52.1;69.6;33.2;52.2;26.4
Aa en Hunze;1620;GM1680;2019JJ00;92;2.23;41;74.1;25.7;0.2;2649;387;244;6.1;47.6;26.2;38.7;48.9;69.1;54.2;75.7;34.1;54.8;26.7
Aa en Hunze;1621;GM1680;2020JJ00;92;2.23;40;74.6;25.3;0.1;2857;384;258;6.9;49.4;27.0;.;50.7;72.0;56.8;.;35.4;56.6;28.5
Aa en Hunze;1622;GM1680;2021JJ00;92;2.23;41;74.8;25.2;0.0;;;273;;;;;;;;;;;
Aa en Hunze;1623;GM1680;2022JJ00;93;2.23;41;;;;;;299;;;;;;;;;;;
Aalsmeer;1652;GM0358;1995JJ00;965;2.54;358;.;.;.;.;.;.;;;;;;;;;;;
Aalsmeer;1653;GM0358;1996JJ00;973;2.51;371;.;.;.;.;.;.;;;;;;;;;;;
Aalsmeer;1654;GM0358;1997JJ00;974;2.46;373;.;.;.;874;488;103;;;;;;;;;;;
Aalsmeer;1655;GM0358;1998JJ00;988;2.44;381;.;.;.;896;512;103;;;;;;;;;;;
Aalsmeer;1656;GM0358;1999JJ00;984;2.42;383;.;.;.;906;514;103;;;;;;;;;;;
Aalsmeer;1657;GM0358;2000JJ00;984;2.43;384;.;.;.;921;521;104;;;;;;;;;;;
Aalsmeer;1658;GM0358;2001JJ00;993;2.43;388;.;.;.;1645;714;185;;;;;;;;;;;
Aalsmeer;1659;GM0358;2002JJ00;1057;2.41;416;.;.;.;1692;744;186;;;;;;;;;;;
Aalsmeer;1660;GM0358;2003JJ00;1106;2.41;437;.;.;.;1713;780;188;;;;;;;;;;;
Aalsmeer;1661;GM0358;2004JJ00;1109;2.40;437;.;.;.;1740;799;189;;;;;;;;;;;
Aalsmeer;1662;GM0358;2005JJ00;1128;2.39;441;.;.;.;2686;947;273;;;;;;;;;;;
Aalsmeer;1663;GM0358;2006JJ00;1173;2.39;448;55.9;40.8;3.3;2761;979;274;;;;;;;;;;;
Aalsmeer;1664;GM0358;2007JJ00;1216;2.40;478;57.4;38.7;3.9;3040;1050;282;;;;;;;;;;;
Aalsmeer;1665;GM0358;2008JJ00;1282;2.41;507;58.9;37.1;4.0;3454;1085;299;15.4;;;;;;;;;;
Aalsmeer;1666;GM0358;2009JJ00;1367;2.42;550;61.2;37.7;1.1;3690;1178;307;15.0;;;;;;;;;;
Aalsmeer;1667;GM0358;2010JJ00;1425;2.42;573;61.2;37.6;1.2;3787;1228;312;15.1;;;;;;;;;;
Aalsmeer;1668;GM0358;2011JJ00;1477;2.43;576;61.5;37.4;1.1;3782;1252;311;15.5;44.6;24.8;34.4;44.8;60.1;48.0;63.6;31.9;53.7;27.2
Aalsmeer;1669;GM0358;2012JJ00;1486;2.44;600;64.0;35.4;0.6;3722;1242;302;14.4;45.6;25.3;34.1;46.3;61.4;48.3;65.1;34.4;55.3;27.1
Aalsmeer;1670;GM0358;2013JJ00;1501;2.44;606;64.1;35.6;0.4;3609;1177;291;15.5;45.3;25.3;35.4;44.7;61.8;50.0;61.0;32.1;54.6;27.3
Aalsmeer;1671;GM0358;2014JJ00;1508;2.43;627;63.0;35.0;2.0;3467;1095;276;16.8;49.0;26.8;36.5;48.3;68.0;51.0;79.9;35.5;59.9;27.8
Aalsmeer;1672;GM0358;2015JJ00;1524;2.42;628;63.3;35.2;1.5;3492;1030;277;16.6;47.4;25.4;42.1;46.4;65.6;52.1;67.8;32.9;57.3;28.6
Aalsmeer;1673;GM0358;2016JJ00;1555;2.41;640;63.2;34.9;1.9;3586;1052;283;17.1;49.9;27.4;40.2;49.4;69.4;54.1;73.9;34.3;60.8;29.1
Aalsmeer;1674;GM0358;2017JJ00;1559;2.40;642;63.1;35.0;1.9;3698;1027;294;17.1;52.1;28.8;38.9;51.6;73.7;55.0;76.4;38.9;64.2;29.1
Aalsmeer;1675;GM0358;2018JJ00;1566;2.40;641;64.1;34.0;1.9;4019;857;304;18.2;52.8;27.9;40.1;52.2;75.5;57.0;78.6;36.0;64.6;30.0
Aalsmeer;1676;GM0358;2019JJ00;1577;2.40;651;64.6;35.4;0.0;4475;951;337;18.2;58.1;30.4;44.9;58.7;82.3;59.9;96.1;40.5;72.0;31.4
Aalsmeer;1677;GM0358;2020JJ00;1584;2.39;657;64.7;35.2;0.0;4811;1004;364;17.7;59.8;32.0;.;60.2;84.4;62.8;.;41.8;73.6;33.3
Aalsmeer;1678;GM0358;2021JJ00;1590;2.38;660;64.7;35.2;0.0;;;383;;;;;;;;;;;
Aalsmeer;1679;GM0358;2022JJ00;1615;2.34;665;;;;;;427;;;;;;;;;;;
Aalten;1680;GM0197;1995JJ00;222;2.67;80;.;.;.;.;.;.;;;;;;;;;;;
Aalten;1681;GM0197;1996JJ00;223;2.65;81;.;.;.;.;.;.;;;;;;;;;;;
Aalten;1682;GM0197;1997JJ00;225;2.61;83;.;.;.;432;180;67;;;;;;;;;;;
Aalten;1683;GM0197;1998JJ00;227;2.61;84;.;.;.;440;183;67;;;;;;;;;;;
Aalten;1684;GM0197;1999JJ00;226;2.58;84;.;.;.;448;189;68;;;;;;;;;;;
Aalten;1685;GM0197;2000JJ00;226;2.58;85;.;.;.;455;194;68;;;;;;;;;;;
Aalten;1686;GM0197;2001JJ00;227;2.57;85;.;.;.;931;272;136;;;;;;;;;;;
Aalten;1687;GM0197;2002JJ00;227;2.57;85;.;.;.;939;279;136;;;;;;;;;;;
Aalten;1688;GM0197;2003JJ00;227;2.55;86;.;.;.;949;284;136;;;;;;;;;;;
Aalten;1689;GM0197;2004JJ00;229;2.54;87;.;.;.;964;285;137;;;;;;;;;;;
Aalten;1690;GM0197;2005JJ00;284;2.51;111;.;.;.;2102;469;200;;;;;;;;;;;
Aalten;1691;GM0197;2006JJ00;285;2.48;111;65.3;32.2;2.5;2149;478;200;;;;;;;;;;;
Aalten;1692;GM0197;2007JJ00;285;2.46;113;67.3;30.5;2.2;2354;429;213;;;;;;;;;;;
Aalten;1693;GM0197;2008JJ00;285;2.47;115;67.2;30.4;2.4;2485;459;224;9.6;;;;;;;;;;
Aalten;1694;GM0197;2009JJ00;284;2.44;115;69.0;30.8;0.2;2551;497;229;9.2;;;;;;;;;;
Aalten;1695;GM0197;2010JJ00;285;2.42;116;68.9;31.0;0.1;2601;515;231;9.3;;;;;;;;;;
Aalten;1696;GM0197;2011JJ00;284;2.42;117;68.4;31.5;0.1;2549;530;226;9.1;36.4;20.3;32.6;36.9;48.5;40.2;60.0;26.1;41.6;23.8
Aalten;1697;GM0197;2012JJ00;283;2.41;119;69.3;30.4;0.3;2480;544;217;8.5;36.6;20.8;32.1;37.1;49.2;40.7;59.4;26.4;41.7;24.2
Aalten;1698;GM0197;2013JJ00;281;2.39;119;70.2;29.6;0.2;2404;544;210;8.2;36.7;20.9;32.4;37.2;49.9;41.4;56.2;26.5;42.0;23.5
Aalten;1699;GM0197;2014JJ00;280;2.38;121;69.3;29.1;1.6;2239;530;194;8.0;39.0;21.7;33.3;40.5;53.1;42.5;67.2;28.8;44.9;24.0
Aalten;1700;GM0197;2015JJ00;279;2.37;122;69.3;29.0;1.6;2154;537;187;8.4;38.4;22.1;31.8;39.0;52.5;42.9;58.5;28.0;43.8;24.2
Aalten;1701;GM0197;2016JJ00;279;2.35;122;69.5;28.9;1.6;2147;509;184;9.0;39.9;23.1;33.9;40.3;55.3;44.9;62.9;28.4;45.6;24.6
Aalten;1702;GM0197;2017JJ00;280;2.34;123;69.6;28.8;1.6;2197;489;189;9.1;41.1;23.4;35.8;41.8;57.4;45.9;66.5;29.3;47.0;25.5
Aalten;1703;GM0197;2018JJ00;279;2.34;123;69.8;28.7;1.5;2273;491;195;9.6;42.6;23.9;36.5;42.9;60.4;47.3;70.3;30.4;48.7;26.1
Aalten;1704;GM0197;2019JJ00;280;2.33;124;70.8;29.0;0.2;2415;509;210;9.4;45.4;25.7;38.2;45.9;64.2;49.4;82.8;31.6;51.7;28.0
Aalten;1705;GM0197;2020JJ00;281;2.31;124;71.1;28.6;0.3;2590;512;224;9.1;46.4;26.5;.;46.3;66.5;51.8;.;31.7;53.0;28.4
Aalten;1706;GM0197;2021JJ00;281;2.31;125;71.5;28.4;0.2;;;238;;;;;;;;;;;
Aalten;1707;GM0197;2022JJ00;281;2.29;125;;;;;;266;;;;;;;;;;;
Achtkarspelen;1792;GM0059;1995JJ00;272;2.72;100;.;.;.;.;.;.;;;;;;;;;;;
Achtkarspelen;1793;GM0059;1996JJ00;272;2.69;101;.;.;.;.;.;.;;;;;;;;;;;
Achtkarspelen;1794;GM0059;1997JJ00;273;2.67;103;.;.;.;606;188;60;;;;;;;;;;;
Achtkarspelen;1795;GM0059;1998JJ00;273;2.63;104;.;.;.;622;188;61;;;;;;;;;;;
Achtkarspelen;1796;GM0059;1999JJ00;273;2.60;105;.;.;.;643;195;62;;;;;;;;;;;
Achtkarspelen;1797;GM0059;2000JJ00;273;2.58;106;.;.;.;647;199;62;;;;;;;;;;;
Achtkarspelen;1798;GM0059;2001JJ00;273;2.57;106;.;.;.;1055;306;100;;;;;;;;;;;
Achtkarspelen;1799;GM0059;2002JJ00;273;2.56;107;.;.;.;1066;311;100;;;;;;;;;;;
Achtkarspelen;1800;GM0059;2003JJ00;274;2.55;108;.;.;.;1077;311;101;;;;;;;;;;;
Achtkarspelen;1801;GM0059;2004JJ00;274;2.54;108;.;.;.;1082;328;101;;;;;;;;;;;
Achtkarspelen;1802;GM0059;2005JJ00;274;2.52;109;.;.;.;1661;373;154;;;;;;;;;;;
Achtkarspelen;1803;GM0059;2006JJ00;275;2.51;110;61.4;36.9;1.7;1684;385;155;;;;;;;;;;;
Achtkarspelen;1804;GM0059;2007JJ00;274;2.50;110;62.1;36.3;1.7;1978;427;180;;;;;;;;;;;
Achtkarspelen;1805;GM0059;2008JJ00;274;2.48;111;62.4;36.0;1.6;2179;453;196;7.4;;;;;;;;;;
Achtkarspelen;1806;GM0059;2009JJ00;274;2.47;112;63.1;36.8;0.1;2256;476;202;6.8;;;;;;;;;;
Achtkarspelen;1807;GM0059;2010JJ00;274;2.45;113;62.4;37.5;0.1;2212;478;197;7.5;;;;;;;;;;
Achtkarspelen;1808;GM0059;2011JJ00;275;2.45;113;62.7;37.2;0.1;2195;485;194;7.3;33.6;19.0;29.2;33.1;45.7;37.8;51.3;24.0;39.5;22.7
Achtkarspelen;1809;GM0059;2012JJ00;274;2.44;114;64.1;35.7;0.3;2161;477;190;7.0;33.5;19.3;28.1;33.7;45.1;38.1;47.1;24.7;39.4;22.7
Achtkarspelen;1810;GM0059;2013JJ00;275;2.42;114;64.1;35.7;0.2;2053;470;180;6.3;33.7;19.5;28.5;34.3;45.5;39.0;48.4;24.5;39.9;22.3
Achtkarspelen;1811;GM0059;2014JJ00;274;2.41;116;63.1;35.4;1.5;1890;452;165;6.8;35.1;20.0;29.0;35.4;48.5;40.0;55.5;25.1;41.9;22.8
Achtkarspelen;1812;GM0059;2015JJ00;274;2.40;117;63.4;35.1;1.5;1832;422;160;7.5;35.0;20.4;29.9;35.5;47.8;40.6;51.0;24.8;41.5;22.9
Achtkarspelen;1813;GM0059;2016JJ00;274;2.39;117;63.4;35.1;1.5;1832;412;159;7.5;36.7;21.0;30.9;36.9;51.1;42.6;55.7;25.3;43.8;23.7
Achtkarspelen;1814;GM0059;2017JJ00;273;2.38;118;62.8;35.7;1.5;1891;399;164;7.3;37.7;21.5;32.4;37.7;53.1;43.3;58.3;26.1;44.9;24.5
Achtkarspelen;1815;GM0059;2018JJ00;273;2.37;118;63.9;34.5;1.6;1990;405;171;7.2;38.7;21.8;34.4;38.6;54.9;44.5;60.7;26.2;46.1;24.8
Achtkarspelen;1816;GM0059;2019JJ00;272;2.36;119;64.0;35.8;0.1;2106;417;183;7.9;40.8;23.3;34.7;40.6;58.7;46.3;65.1;27.9;48.7;26.3
Achtkarspelen;1817;GM0059;2020JJ00;272;2.35;119;63.8;36.2;0.1;2243;415;194;7.6;42.3;24.2;.;41.4;61.5;48.8;.;28.5;50.4;27.4
Achtkarspelen;1818;GM0059;2021JJ00;273;2.34;119;63.7;36.3;0.0;;;208;;;;;;;;;;;
Achtkarspelen;1819;GM0059;2022JJ00;274;2.33;120;;;;;;228;;;;;;;;;;;
Alblasserdam;1848;GM0482;1995JJ00;2007;2.55;769;.;.;.;.;.;.;;;;;;;;;;;
Alblasserdam;1849;GM0482;1996JJ00;2008;2.54;782;.;.;.;.;.;.;;;;;;;;;;;
Alblasserdam;1850;GM0482;1997JJ00;2023;2.53;789;.;.;.;485;136;70;;;;;;;;;;;
Alblasserdam;1851;GM0482;1998JJ00;2025;2.52;805;.;.;.;531;101;71;;;;;;;;;;;
Alblasserdam;1852;GM0482;1999JJ00;2052;2.51;810;.;.;.;512;133;72;;;;;;;;;;;
Alblasserdam;1853;GM0482;2000JJ00;2064;2.51;827;.;.;.;504;157;72;;;;;;;;;;;
Alblasserdam;1854;GM0482;2001JJ00;2090;2.50;844;.;.;.;872;183;117;;;;;;;;;;;
Alblasserdam;1855;GM0482;2002JJ00;2087;2.51;841;.;.;.;884;234;118;;;;;;;;;;;
Alblasserdam;1856;GM0482;2003JJ00;2097;2.51;845;.;.;.;886;246;119;;;;;;;;;;;
Alblasserdam;1857;GM0482;2004JJ00;2093;2.51;837;.;.;.;898;258;120;;;;;;;;;;;
Alblasserdam;1858;GM0482;2005JJ00;2089;2.50;852;.;.;.;1359;345;179;;;;;;;;;;;
Alblasserdam;1859;GM0482;2006JJ00;2098;2.49;863;53.6;43.1;3.3;1393;378;184;;;;;;;;;;;
Alblasserdam;1860;GM0482;2007JJ00;2126;2.48;856;55.7;42.5;1.8;1550;394;201;;;;;;;;;;;
Alblasserdam;1861;GM0482;2008JJ00;2131;2.48;870;56.2;41.3;2.5;1671;451;217;8.5;;;;;;;;;;
Alblasserdam;1862;GM0482;2009JJ00;2144;2.48;875;56.9;43.0;0.1;1750;466;225;8.5;;;;;;;;;;
Alblasserdam;1863;GM0482;2010JJ00;2164;2.48;881;55.8;44.0;0.1;1738;507;222;8.3;;;;;;;;;;
Alblasserdam;1864;GM0482;2011JJ00;2186;2.47;903;55.9;43.8;0.2;1768;510;219;8.8;38.4;20.8;31.0;38.0;53.8;43.7;58.9;26.8;47.7;24.7
Alblasserdam;1865;GM0482;2012JJ00;2216;2.46;920;58.5;41.4;0.1;1743;514;215;9.5;39.6;21.3;30.4;43.1;52.9;43.8;59.8;29.7;47.2;28.2
Alblasserdam;1866;GM0482;2013JJ00;2239;2.46;925;58.6;41.3;0.1;1665;523;205;9.0;38.8;22.3;31.0;39.0;53.5;45.2;59.0;26.3;48.0;24.8
Alblasserdam;1867;GM0482;2014JJ00;2257;2.47;926;58.8;41.2;0.1;1583;486;194;8.7;41.2;23.6;31.4;40.8;57.5;46.4;74.0;28.0;51.2;25.6
Alblasserdam;1868;GM0482;2015JJ00;2262;2.47;928;59.4;40.5;0.2;1551;475;190;9.3;40.5;23.3;32.6;40.5;56.0;47.5;63.5;27.0;50.2;25.2
Alblasserdam;1869;GM0482;2016JJ00;2270;2.46;935;60.1;39.5;0.4;1596;467;194;9.5;42.0;23.4;35.3;41.2;59.5;49.2;67.8;27.6;52.3;25.6
Alblasserdam;1870;GM0482;2017JJ00;2276;2.46;939;59.6;40.3;0.0;1635;464;198;8.9;43.5;23.7;35.3;43.0;62.2;50.4;69.6;29.3;54.3;26.2
Alblasserdam;1871;GM0482;2018JJ00;2280;2.44;943;60.5;39.3;0.1;1700;452;204;9.3;44.6;23.9;36.0;43.5;65.3;51.5;74.0;29.0;55.7;26.7
Alblasserdam;1872;GM0482;2019JJ00;2286;2.44;948;61.3;38.6;0.1;1819;480;217;9.2;47.1;25.8;38.1;46.3;68.5;53.4;78.4;31.6;58.9;27.9
Alblasserdam;1873;GM0482;2020JJ00;2297;2.43;951;61.0;38.9;0.1;1970;514;234;9.3;48.3;.;.;.;71.6;55.6;.;31.6;60.5;28.5
Alblasserdam;1874;GM0482;2021JJ00;2294;2.42;958;61.0;38.6;0.4;;;253;;;;;;;;;;;
Alblasserdam;1875;GM0482;2022JJ00;2290;2.41;959;;;;;;273;;;;;;;;;;;
Albrandswaard;1876;GM0613;1995JJ00;679;2.52;262;.;.;.;.;.;.;;;;;;;;;;;
Albrandswaard;1877;GM0613;1996JJ00;687;2.53;263;.;.;.;.;.;.;;;;;;;;;;;
Albrandswaard;1878;GM0613;1997JJ00;684;2.52;263;.;.;.;569;243;98;;;;;;;;;;;
Albrandswaard;1879;GM0613;1998JJ00;690;2.52;265;.;.;.;587;256;96;;;;;;;;;;;
Albrandswaard;1880;GM0613;1999JJ00;709;2.51;276;.;.;.;612;268;97;;;;;;;;;;;
Albrandswaard;1881;GM0613;2000JJ00;736;2.51;288;.;.;.;668;275;96;;;;;;;;;;;
Albrandswaard;1882;GM0613;2001JJ00;794;2.50;315;.;.;.;1082;305;154;;;;;;;;;;;
Albrandswaard;1883;GM0613;2002JJ00;811;2.51;319;.;.;.;1119;313;153;;;;;;;;;;;
Albrandswaard;1884;GM0613;2003JJ00;845;2.51;334;.;.;.;1196;318;157;;;;;;;;;;;
Albrandswaard;1885;GM0613;2004JJ00;884;2.50;353;.;.;.;1272;332;157;;;;;;;;;;;
Albrandswaard;1886;GM0613;2005JJ00;929;2.49;372;.;.;.;2005;428;241;;;;;;;;;;;
Albrandswaard;1887;GM0613;2006JJ00;952;2.49;383;66.6;30.9;2.5;2064;443;241;;;;;;;;;;;
Albrandswaard;1888;GM0613;2007JJ00;973;2.49;387;66.7;30.9;2.5;2301;484;261;;;;;;;;;;;
Albrandswaard;1889;GM0613;2008JJ00;1015;2.47;409;66.2;31.0;2.8;2512;529;275;8.6;;;;;;;;;;
Albrandswaard;1890;GM0613;2009JJ00;1054;2.48;421;66.4;33.1;0.5;2757;513;284;8.5;;;;;;;;;;
Albrandswaard;1891;GM0613;2010JJ00;1109;2.47;448;65.0;34.6;0.4;2847;573;287;9.2;;;;;;;;;;
Albrandswaard;1892;GM0613;2011JJ00;1128;2.46;457;65.0;34.6;0.4;2797;550;280;8.7;47.2;27.8;31.9;48.5;60.5;50.3;76.3;32.3;55.7;28.0
Albrandswaard;1893;GM0613;2012JJ00;1143;2.45;449;67.3;32.0;0.7;2782;523;277;8.7;46.4;26.1;32.4;47.7;60.6;50.8;69.4;31.0;54.6;28.0
Albrandswaard;1894;GM0613;2013JJ00;1151;2.45;461;67.7;32.0;0.3;2670;509;266;9.3;48.1;29.1;32.7;47.8;62.8;52.3;71.4;33.0;57.1;27.8
Albrandswaard;1895;GM0613;2014JJ00;1150;2.44;466;67.2;32.0;0.9;2556;473;254;9.7;50.1;27.6;34.9;51.5;66.5;53.3;89.4;33.0;60.0;28.1
Albrandswaard;1896;GM0613;2015JJ00;1153;2.43;466;67.1;32.0;0.8;2479;446;246;9.5;48.5;27.2;34.5;49.4;65.1;54.9;66.8;31.9;57.6;28.1
Albrandswaard;1897;GM0613;2016JJ00;1150;2.43;470;67.3;31.9;0.8;2513;442;248;9.7;50.1;27.5;36.2;50.6;68.5;56.7;71.6;32.3;59.7;28.7
Albrandswaard;1898;GM0613;2017JJ00;1155;2.43;473;67.3;31.8;0.9;2582;438;254;9.9;52.2;27.8;38.5;53.2;71.2;58.0;75.5;35.4;62.3;29.1
Albrandswaard;1899;GM0613;2018JJ00;1163;2.43;476;68.0;31.2;0.9;2717;440;266;9.4;54.7;28.1;38.6;55.6;76.0;59.4;86.5;36.6;65.5;29.8
Albrandswaard;1900;GM0613;2019JJ00;1165;2.43;477;68.9;31.0;0.1;2981;437;286;8.1;57.4;29.0;41.5;58.6;80.2;62.2;94.7;37.6;68.7;31.1
Albrandswaard;1901;GM0613;2020JJ00;1180;2.40;485;69.1;30.5;0.4;3265;466;311;8.1;58.3;29.0;.;59.9;82.4;65.0;.;37.1;70.5;31.1
Albrandswaard;1902;GM0613;2021JJ00;1190;2.43;488;69.3;30.4;0.3;;;332;;;;;;;;;;;
Albrandswaard;1903;GM0613;2022JJ00;1197;2.41;490;;;;;;359;;;;;;;;;;;
Alkmaar;1932;GM0361;1995JJ00;3526;2.27;1454;.;.;.;.;.;.;;;;;;;;;;;
Alkmaar;1933;GM0361;1996JJ00;3528;2.26;1472;.;.;.;.;.;.;;;;;;;;;;;
Alkmaar;1934;GM0361;1997JJ00;3472;2.24;1460;.;.;.;2514;1636;64;;;;;;;;;;;
Alkmaar;1935;GM0361;1998JJ00;3095;2.23;1316;.;.;.;2564;1701;65;;;;;;;;;;;
Alkmaar;1936;GM0361;1999JJ00;3093;2.21;1320;.;.;.;2591;1747;65;;;;;;;;;;;
Alkmaar;1937;GM0361;2000JJ00;3091;2.21;1328;.;.;.;2620;1806;65;;;;;;;;;;;
Alkmaar;1938;GM0361;2001JJ00;3098;2.21;1333;.;.;.;4623;2036;114;;;;;;;;;;;
Alkmaar;1939;GM0361;2002JJ00;3097;2.20;1338;.;.;.;4685;2103;114;;;;;;;;;;;
Alkmaar;1940;GM0361;2003JJ00;3165;2.19;1390;.;.;.;4809;2154;116;;;;;;;;;;;
Alkmaar;1941;GM0361;2004JJ00;3190;2.18;1417;.;.;.;4887;2221;117;;;;;;;;;;;
Alkmaar;1942;GM0361;2005JJ00;3195;2.16;1423;.;.;.;7527;2755;178;;;;;;;;;;;
Alkmaar;1943;GM0361;2006JJ00;3211;2.14;1440;53.0;44.8;2.2;7577;2841;178;;;;;;;;;;;
Alkmaar;1944;GM0361;2007JJ00;3202;2.13;1445;54.9;43.3;1.8;7931;2934;184;;;;;;;;;;;
Alkmaar;1945;GM0361;2008JJ00;3192;2.12;1450;55.6;42.4;2.0;8393;3110;196;54.5;;;;;;;;;;
Alkmaar;1946;GM0361;2009JJ00;3191;2.10;1463;56.9;43.0;0.1;8868;3231;205;53.7;;;;;;;;;;
Alkmaar;1947;GM0361;2010JJ00;3206;2.09;1471;56.6;43.3;0.1;9082;3373;209;55.0;;;;;;;;;;
Alkmaar;1948;GM0361;2011JJ00;3210;2.09;1477;56.5;43.5;0.1;9050;3319;205;56.6;34.9;21.4;30.3;40.3;51.1;39.4;51.2;25.0;43.7;23.2
Alkmaar;1949;GM0361;2012JJ00;3222;2.08;1493;56.6;43.0;0.4;9015;3292;204;55.8;34.9;21.6;29.4;40.3;51.5;39.6;47.9;25.8;43.7;23.1
Alkmaar;1950;GM0361;2013JJ00;3228;2.08;1505;56.6;43.0;0.4;8590;3224;193;53.3;35.2;21.9;29.7;40.6;51.7;40.6;47.4;25.5;44.1;23.2
Alkmaar;1951;GM0361;2014JJ00;3240;2.08;1533;56.1;42.7;1.2;8176;2951;181;53.6;36.7;22.7;30.5;42.5;54.4;41.9;53.2;26.7;46.2;23.9
Alkmaar;1952;GM0361;2015JJ00;969;2.11;453;57.7;40.8;1.5;9098;3056;181;54.9;37.8;23.3;32.0;42.8;55.7;43.5;52.8;27.0;47.0;24.4
Alkmaar;1953;GM0361;2016JJ00;974;2.10;456;57.7;40.8;1.5;9218;3023;182;55.4;39.2;23.7;33.0;44.3;58.7;45.0;55.5;27.8;48.9;25.0
Alkmaar;1954;GM0361;2017JJ00;981;2.09;457;57.4;41.3;1.3;9585;2888;188;55.6;40.2;24.3;34.3;45.5;60.8;45.8;58.6;28.8;50.3;25.6
Alkmaar;1955;GM0361;2018JJ00;982;2.09;460;58.0;40.8;1.2;10261;2936;202;55.0;41.1;24.7;35.2;46.5;62.9;46.7;61.8;28.8;51.5;26.1
Alkmaar;1956;GM0361;2019JJ00;983;2.08;463;58.8;41.1;0.1;11515;3028;222;57.3;43.8;26.1;37.2;50.2;67.2;48.6;70.7;30.8;55.3;27.2
Alkmaar;1957;GM0361;2020JJ00;991;2.08;465;58.5;41.4;0.1;12823;3147;244;57.5;44.9;26.9;38.4;51.3;69.0;51.0;.;31.3;56.5;28.4
Alkmaar;1958;GM0361;2021JJ00;995;2.07;468;58.3;41.6;0.1;;;261;;;;;;;;;;;
