Geslacht_Title;Leeftijd_Title;RegioS;RegioS_Title;Perioden;Perioden_Title;BevolkingOp1Januari_1;GemiddeldeBevolking_2;data_verhuisde_personen.Geslacht.1.Title;data_verhuisde_personen.Leeftijd31December.1.Title;data_verhuisde_personen.RegioS;data_verhuisde_personen.RegioS.1.Title;data_verhuisde_personen.Perioden;data_verhuisde_personen.Perioden.1.Title;data_verhuisde_personen.BinnenGemeentenVerhuisdePersonen_1;data_verhuisde_personen.GevestigdInDeGemeente_2;data_verhuisde_personen.VertrokkenUitDeGemeente_3;gemiddelde verkoopprijs.RegioS;gemiddelde verkoopprijs.RegioS (3).Title;gemiddelde verkoopprijs.Perioden;gemiddelde verkoopprijs.Perioden (3).Title;gemiddelde verkoopprijs.GemiddeldeVerkoopprijs_1;Voorraad woningen.Gebruiksfunctie.1.Title;Voorraad woningen.RegioS;Voorraad woningen.RegioS (4).Title;Voorraad woningen.Perioden;Voorraad woningen.Perioden (4).Title;Voorraad woningen.BeginstandVoorraad_1;Voorraad woningen.Nieuwbouw_2;Voorraad woningen.Sloop_4;Voorraad woningen.Correctie_6;Voorraad woningen.SaldoVoorraad_7;Voorraad woningen.EindstandVoorraad_8
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2010JJ00;2010;25563; 25674.0;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2010JJ00;2010;768;1095;990;GM1680;Aa en Hunze;2010JJ00;2010;230392;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2010JJ00;2010;12614; 12649.5;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2010JJ00;2010;349;330;351;GM0738;Aalburg;2010JJ00;2010;276192;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2010JJ00;2010;29187; 29688.0;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2010JJ00;2010;885;1477;773;GM0358;Aalsmeer;2010JJ00;2010;305355;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2010JJ00;2010;27500; 27469.5;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2010JJ00;2010;1078;588;745;GM0197;Aalten;2010JJ00;2010;187353;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2010JJ00;2010;8764;  8777.5;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2010JJ00;2010;211;360;360;GM0305;Abcoude;2010JJ00;2010;483105;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2010JJ00;2010;28088; 28105.5;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2010JJ00;2010;1067;724;852;GM0059;Achtkarspelen;2010JJ00;2010;188733;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2010JJ00;2010;19014; 19111.0;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2010JJ00;2010;733;586;491;GM0482;Alblasserdam;2010JJ00;2010;229507;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2010JJ00;2010;24191; 24432.5;Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2010JJ00;2010;609;1297;907;GM0613;Albrandswaard;2010JJ00;2010;283348;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2010JJ00;2010;93861; 93898.5;Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2010JJ00;2010;4808;3446;4054;GM0361;Alkmaar;2010JJ00;2010;211926;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2010JJ00;2010;72602; 72600.5;Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2010JJ00;2010;4457;1972;2162;GM0141;Almelo;2010JJ00;2010;172505;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0034;Almere;2010JJ00;2010;188160;189407.5;Totaal mannen en vrouwen;Totaal;GM0034;Almere;2010JJ00;2010;12021;6745;6243;GM0034;Almere;2010JJ00;2010;205853;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0005;Bedum;2012JJ00;2012;10508; 10530.5;Totaal mannen en vrouwen;Totaal;GM0005;Bedum;2012JJ00;2012;396;381;370;GM0005;Bedum;2012JJ00;2012;179928;Woning;GM0005;Bedum;2012JJ00;2012;4424;0;0;0;40;4464
Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2010JJ00;2010;72534; 72607.0;Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2010JJ00;2010;3981;1815;2233;GM0484;Alphen aan den Rijn;2010JJ00;2010;193252;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2010JJ00;2010;9436;  9451.0;Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2010JJ00;2010;240;316;327;GM1723;Alphen-Chaam;2010JJ00;2010;297254;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1959;Altena;2010JJ00;2010;;;Totaal mannen en vrouwen;Totaal;GM1959;Altena;2010JJ00;2010;;;;GM1959;Altena;2010JJ00;2010;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2011JJ00;2011;25785; 25761.5;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2011JJ00;2011;730;1017;997;GM1680;Aa en Hunze;2011JJ00;2011;236209;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2016JJ00;2016;3611;  3622.0;Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2016JJ00;2016;189;185;159;GM0060;Ameland;2016JJ00;2016;252680;Woning;GM0060;Ameland;2016JJ00;2016;1674;6;0;0;12;1686
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2011JJ00;2011;12685; 12717.0;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2011JJ00;2011;451;334;357;GM0738;Aalburg;2011JJ00;2011;266466;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2020JJ00;2020;3716;  3731.0;Totaal mannen en vrouwen;Totaal;GM0060;Ameland;2020JJ00;2020;228;200;176;GM0060;Ameland;2020JJ00;2020;346924;Woning;GM0060;Ameland;2020JJ00;2020;1737;12;0;0;16;1753
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2011JJ00;2011;30189; 30276.5;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2011JJ00;2011;663;900;917;GM0358;Aalsmeer;2011JJ00;2011;314737;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2011JJ00;2011;27439; 27372.0;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2011JJ00;2011;1108;638;797;GM0197;Aalten;2011JJ00;2011;189290;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2011JJ00;2011;;;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2011JJ00;2011;;;;GM0305;Abcoude;2011JJ00;2011;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2011JJ00;2011;28123; 28107.0;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2011JJ00;2011;1098;728;840;GM0059;Achtkarspelen;2011JJ00;2011;188124;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2011JJ00;2011;19208; 19337.5;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2011JJ00;2011;693;658;520;GM0482;Alblasserdam;2011JJ00;2011;223250;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2011JJ00;2011;24674; 24838.5;Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2011JJ00;2011;458;1116;917;GM0613;Albrandswaard;2011JJ00;2011;266889;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2011JJ00;2011;93936; 94102.5;Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2011JJ00;2011;5223;3525;3743;GM0361;Alkmaar;2011JJ00;2011;206264;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2011JJ00;2011;72599; 72678.0;Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2011JJ00;2011;4389;2029;2250;GM0141;Almelo;2011JJ00;2011;170489;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0034;Almere;2011JJ00;2011;190655;191909.0;Totaal mannen en vrouwen;Totaal;GM0034;Almere;2011JJ00;2011;11377;6470;5990;GM0034;Almere;2011JJ00;2011;205127;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2011JJ00;2011;72680; 72766.5;Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2011JJ00;2011;3894;1941;2170;GM0484;Alphen aan den Rijn;2011JJ00;2011;211847;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2011JJ00;2011;9466;  9495.5;Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2011JJ00;2011;206;325;290;GM1723;Alphen-Chaam;2011JJ00;2011;292151;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1959;Altena;2011JJ00;2011;;;Totaal mannen en vrouwen;Totaal;GM1959;Altena;2011JJ00;2011;;;;GM1959;Altena;2011JJ00;2011;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2012JJ00;2012;25738; 25639.5;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2012JJ00;2012;703;995;1018;GM1680;Aa en Hunze;2012JJ00;2012;219111;Woning;GM1680;Aa en Hunze;2012JJ00;2012;12414;14;10;92;-1200;11214
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2012JJ00;2012;12749; 12761.5;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2012JJ00;2012;459;316;347;GM0738;Aalburg;2012JJ00;2012;250662;Woning;GM0738;Aalburg;2012JJ00;2012;4769;43;7;51;88;4857
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2012JJ00;2012;30364; 30491.0;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2012JJ00;2012;800;944;898;GM0358;Aalsmeer;2012JJ00;2012;265452;Woning;GM0358;Aalsmeer;2012JJ00;2012;12267;49;10;50;87;12354
Totaal mannen en vrouwen;Totaal;GM0009;Ten Boer;2016JJ00;2016;7352;  7320.0;Totaal mannen en vrouwen;Totaal;GM0009;Ten Boer;2016JJ00;2016;239;345;347;GM0009;Ten Boer;2016JJ00;2016;165414;Woning;GM0009;Ten Boer;2016JJ00;2016;3017;23;0;0;28;3045
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2012JJ00;2012;27305; 27193.5;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2012JJ00;2012;978;600;823;GM0197;Aalten;2012JJ00;2012;176637;Woning;GM0197;Aalten;2012JJ00;2012;11504;23;3;-73;-53;11451
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2012JJ00;2012;;;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2012JJ00;2012;;;;GM0305;Abcoude;2012JJ00;2012;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2012JJ00;2012;28091; 28100.5;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2012JJ00;2012;1034;721;780;GM0059;Achtkarspelen;2012JJ00;2012;178073;Woning;GM0059;Achtkarspelen;2012JJ00;2012;11663;52;8;-5;48;11711
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2012JJ00;2012;19467; 19555.0;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2012JJ00;2012;595;635;511;GM0482;Alblasserdam;2012JJ00;2012;212680;Woning;GM0482;Alblasserdam;2012JJ00;2012;8083;26;0;1;28;8111
Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2012JJ00;2012;25003; 25052.0;Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2012JJ00;2012;503;972;999;GM0613;Albrandswaard;2012JJ00;2012;287149;Woning;GM0613;Albrandswaard;2012JJ00;2012;9822;33;4;46;237;10059
Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2012JJ00;2012;94269; 94387.0;Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2012JJ00;2012;5119;3781;3855;GM0361;Alkmaar;2012JJ00;2012;201883;Woning;GM0361;Alkmaar;2012JJ00;2012;43703;134;36;136;346;44049
Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2012JJ00;2012;72757; 72743.0;Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2012JJ00;2012;4527;2062;2347;GM0141;Almelo;2012JJ00;2012;171217;Woning;GM0141;Almelo;2012JJ00;2012;31995;54;1;80;122;32117
Totaal mannen en vrouwen;Totaal;GM0034;Almere;2012JJ00;2012;193163;194188.0;Totaal mannen en vrouwen;Totaal;GM0034;Almere;2012JJ00;2012;11043;6230;6168;GM0034;Almere;2012JJ00;2012;192040;Woning;GM0034;Almere;2012JJ00;2012;76755;573;0;134;854;77609
Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2012JJ00;2012;72853; 72883.0;Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2012JJ00;2012;3754;1852;2075;GM0484;Alphen aan den Rijn;2012JJ00;2012;198369;Woning;GM0484;Alphen aan den Rijn;2012JJ00;2012;31005;116;10;43;275;31280
Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2012JJ00;2012;9525;  9582.5;Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2012JJ00;2012;325;413;317;GM1723;Alphen-Chaam;2012JJ00;2012;277341;Woning;GM1723;Alphen-Chaam;2012JJ00;2012;3936;52;16;5;48;3984
Totaal mannen en vrouwen;Totaal;GM1959;Altena;2012JJ00;2012;;;Totaal mannen en vrouwen;Totaal;GM1959;Altena;2012JJ00;2012;;;;GM1959;Altena;2012JJ00;2012;;Woning;GM1959;Altena;2012JJ00;2012;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;1995JJ00;1995;;;;;;;;;;;;GM1680;Aa en Hunze;1995JJ00;1995;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2013JJ00;2013;25541; 25449.0;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2013JJ00;2013;697;980;1090;GM1680;Aa en Hunze;2013JJ00;2013;213176;Woning;GM1680;Aa en Hunze;2013JJ00;2013;11214;25;31;16;-41;11173
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;1996JJ00;1996;;;;;;;;;;;;GM1680;Aa en Hunze;1996JJ00;1996;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0009;Ten Boer;2018JJ00;2018;7292;  7290.5;Totaal mannen en vrouwen;Totaal;GM0009;Ten Boer;2018JJ00;2018;196;409;373;GM0009;Ten Boer;2018JJ00;2018;198181;Woning;GM0009;Ten Boer;2018JJ00;2018;3052;0;0;0;-1;3051
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2013JJ00;2013;12774; 12810.0;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2013JJ00;2013;444;318;322;GM0738;Aalburg;2013JJ00;2013;229378;Woning;GM0738;Aalburg;2013JJ00;2013;4857;80;6;4;114;4971
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;1997JJ00;1997;;;;;;;;;;;;GM1680;Aa en Hunze;1997JJ00;1997;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0007;Bellingwedde;2017JJ00;2017;8919;  8867.5;Totaal mannen en vrouwen;Totaal;GM0007;Bellingwedde;2017JJ00;2017;188;620;663;GM0007;Bellingwedde;2017JJ00;2017;166742;Woning;GM0007;Bellingwedde;2017JJ00;2017;4117;0;0;0;1;4118
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2013JJ00;2013;30618; 30688.5;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2013JJ00;2013;971;965;986;GM0358;Aalsmeer;2013JJ00;2013;288004;Woning;GM0358;Aalsmeer;2013JJ00;2013;12354;252;31;1;426;12780
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;1998JJ00;1998;24806; 24778.5;;;;;;;;;;GM1680;Aa en Hunze;1998JJ00;1998;130136;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2013JJ00;2013;27082; 27047.5;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2013JJ00;2013;1067;566;630;GM0197;Aalten;2013JJ00;2013;159498;Woning;GM0197;Aalten;2013JJ00;2013;11451;46;3;-2;236;11687
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;1999JJ00;1999;24751; 24787.5;;;;;;;;;;GM1680;Aa en Hunze;1999JJ00;1999;159338;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2013JJ00;2013;;;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2013JJ00;2013;;;;GM0305;Abcoude;2013JJ00;2013;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2000JJ00;2000;24824; 25016.0;;;;;;;;;;GM1680;Aa en Hunze;2000JJ00;2000;182830;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2013JJ00;2013;28110; 28063.0;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2013JJ00;2013;891;639;786;GM0059;Achtkarspelen;2013JJ00;2013;152525;Woning;GM0059;Achtkarspelen;2013JJ00;2013;11711;34;4;0;183;11894
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2001JJ00;2001;25208; 25380.0;;;;;;;;;;GM1680;Aa en Hunze;2001JJ00;2001;216452;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2015JJ00;2015;19845; 19900.0;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2015JJ00;2015;880;657;618;GM0482;Alblasserdam;2015JJ00;2015;210548;Woning;GM0482;Alblasserdam;2015JJ00;2015;8138;80;0;0;82;8220
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2013JJ00;2013;19643; 19722.0;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2013JJ00;2013;726;610;552;GM0482;Alblasserdam;2013JJ00;2013;190876;Woning;GM0482;Alblasserdam;2013JJ00;2013;8111;12;1;0;11;8122
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2002JJ00;2002;25552; 25428.5;;;;;;;;;;GM1680;Aa en Hunze;2002JJ00;2002;210945;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2013JJ00;2013;25101; 25085.0;Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2013JJ00;2013;424;908;1060;GM0613;Albrandswaard;2013JJ00;2013;246855;Woning;GM0613;Albrandswaard;2013JJ00;2013;10059;9;4;-1;106;10165
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2003JJ00;2003;25305; 25261.5;;;;;;;;;;GM1680;Aa en Hunze;2003JJ00;2003;205222;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2013JJ00;2013;94505; 94685.5;Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2013JJ00;2013;4972;3611;3771;GM0361;Alkmaar;2013JJ00;2013;187931;Woning;GM0361;Alkmaar;2013JJ00;2013;44049;371;6;78;835;44884
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2004JJ00;2004;25218; 25273.5;;;;;;;;;;GM1680;Aa en Hunze;2004JJ00;2004;222208;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2013JJ00;2013;72729; 72594.0;Totaal mannen en vrouwen;Totaal;GM0141;Almelo;2013JJ00;2013;4208;1953;2374;GM0141;Almelo;2013JJ00;2013;152775;Woning;GM0141;Almelo;2013JJ00;2013;32117;62;0;-1;42;32159
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2005JJ00;2005;25329; 25418.0;;;;;;;;;;GM1680;Aa en Hunze;2005JJ00;2005;231917;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0034;Almere;2013JJ00;2013;195213;195613.0;Totaal mannen en vrouwen;Totaal;GM0034;Almere;2013JJ00;2013;11632;5781;6523;GM0034;Almere;2013JJ00;2013;180357;Woning;GM0034;Almere;2013JJ00;2013;77609;617;56;135;721;78330
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2006JJ00;2006;25507; 25535.0;;;;;;;;;;GM1680;Aa en Hunze;2006JJ00;2006;244657;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2013JJ00;2013;72913; 73018.5;Totaal mannen en vrouwen;Totaal;GM0484;Alphen aan den Rijn;2013JJ00;2013;3333;1929;2061;GM0484;Alphen aan den Rijn;2013JJ00;2013;214234;Woning;GM0484;Alphen aan den Rijn;2013JJ00;2013;31280;94;20;4;95;31375
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2007JJ00;2007;25563; 25580.5;;;;;;;;;;GM1680;Aa en Hunze;2007JJ00;2007;265383;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2013JJ00;2013;9640;  9678.5;Totaal mannen en vrouwen;Totaal;GM1723;Alphen-Chaam;2013JJ00;2013;279;435;369;GM1723;Alphen-Chaam;2013JJ00;2013;279286;Woning;GM1723;Alphen-Chaam;2013JJ00;2013;3984;52;1;1;66;4050
Totaal mannen en vrouwen;Totaal;GM0384;Diemen;2015JJ00;2015;26666; 26753.0;Totaal mannen en vrouwen;Totaal;GM0384;Diemen;2015JJ00;2015;703;2408;2286;GM0384;Diemen;2015JJ00;2015;182173;Woning;GM0384;Diemen;2015JJ00;2015;13132;84;0;0;84;13216
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2008JJ00;2008;25598; 25636.5;;;;;;;;;;GM1680;Aa en Hunze;2008JJ00;2008;269367;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1959;Altena;2013JJ00;2013;;;Totaal mannen en vrouwen;Totaal;GM1959;Altena;2013JJ00;2013;;;;GM1959;Altena;2013JJ00;2013;;Woning;GM1959;Altena;2013JJ00;2013;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2009JJ00;2009;25675; 25619.0;;;;;;;;;;GM1680;Aa en Hunze;2009JJ00;2009;227898;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2014JJ00;2014;25357; 25280.0;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2014JJ00;2014;893;1050;1088;GM1680;Aa en Hunze;2014JJ00;2014;213509;Woning;GM1680;Aa en Hunze;2014JJ00;2014;11173;6;7;8;-23;11150
Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2014JJ00;2014;12846; 12884.0;Totaal mannen en vrouwen;Totaal;GM0738;Aalburg;2014JJ00;2014;395;374;376;GM0738;Aalburg;2014JJ00;2014;229823;Woning;GM0738;Aalburg;2014JJ00;2014;4971;46;5;0;49;5020
Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2014JJ00;2014;30759; 30918.0;Totaal mannen en vrouwen;Totaal;GM0358;Aalsmeer;2014JJ00;2014;942;1165;1063;GM0358;Aalsmeer;2014JJ00;2014;271638;Woning;GM0358;Aalsmeer;2014JJ00;2014;12780;32;14;0;23;12803
Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2014JJ00;2014;27013; 26958.5;Totaal mannen en vrouwen;Totaal;GM0197;Aalten;2014JJ00;2014;1039;593;687;GM0197;Aalten;2014JJ00;2014;175272;Woning;GM0197;Aalten;2014JJ00;2014;11687;56;2;6;88;11775
Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2014JJ00;2014;;;Totaal mannen en vrouwen;Totaal;GM0305;Abcoude;2014JJ00;2014;;;;GM0305;Abcoude;2014JJ00;2014;;;;;;;;;;;;
Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2014JJ00;2014;28016; 27999.5;Totaal mannen en vrouwen;Totaal;GM0059;Achtkarspelen;2014JJ00;2014;1097;721;820;GM0059;Achtkarspelen;2014JJ00;2014;155891;Woning;GM0059;Achtkarspelen;2014JJ00;2014;11894;31;12;0;23;11917
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2015JJ00;2015;25203; 25223.0;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2015JJ00;2015;889;1308;1183;GM1680;Aa en Hunze;2015JJ00;2015;241481;Woning;GM1680;Aa en Hunze;2015JJ00;2015;11150;8;30;0;-19;11131
Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2014JJ00;2014;19801; 19823.0;Totaal mannen en vrouwen;Totaal;GM0482;Alblasserdam;2014JJ00;2014;638;545;619;GM0482;Alblasserdam;2014JJ00;2014;204392;Woning;GM0482;Alblasserdam;2014JJ00;2014;8122;36;22;0;16;8138
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2016JJ00;2016;25243; 25264.5;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2016JJ00;2016;926;1374;1188;GM1680;Aa en Hunze;2016JJ00;2016;227275;Woning;GM1680;Aa en Hunze;2016JJ00;2016;11131;19;10;0;14;11145
Totaal mannen en vrouwen;Totaal;GM0370;Beemster;2021JJ00;2021;10110; 10406.5;Totaal mannen en vrouwen;Totaal;GM0370;Beemster;2021JJ00;2021;296;1037;466;GM0370;Beemster;2021JJ00;2021;502018;Woning;GM0370;Beemster;2021JJ00;2021;4051;272;0;0;278;4329
Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2014JJ00;2014;25069; 25108.5;Totaal mannen en vrouwen;Totaal;GM0613;Albrandswaard;2014JJ00;2014;630;1113;1142;GM0613;Albrandswaard;2014JJ00;2014;264735;Woning;GM0613;Albrandswaard;2014JJ00;2014;10165;2;3;0;2;10167
Totaal mannen en vrouwen;Totaal;GM0312;Bunnik;2014JJ00;2014;14626; 14644.0;Totaal mannen en vrouwen;Totaal;GM0312;Bunnik;2014JJ00;2014;330;798;778;GM0312;Bunnik;2014JJ00;2014;271316;Woning;GM0312;Bunnik;2014JJ00;2014;6101;96;0;0;106;6207
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2017JJ00;2017;25286; 25338.0;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2017JJ00;2017;1150;1592;1393;GM1680;Aa en Hunze;2017JJ00;2017;241866;Woning;GM1680;Aa en Hunze;2017JJ00;2017;11145;22;7;0;20;11165
Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2014JJ00;2014;94866; 95057.0;Totaal mannen en vrouwen;Totaal;GM0361;Alkmaar;2014JJ00;2014;5300;3742;4062;GM0361;Alkmaar;2014JJ00;2014;195094;Woning;GM0361;Alkmaar;2014JJ00;2014;44884;143;3;117;402;45286
Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2018JJ00;2018;25390; 25388.0;Totaal mannen en vrouwen;Totaal;GM1680;Aa en Hunze;2018JJ00;2018;939;1414;1303;GM1680;Aa en Hunze;2018JJ00;2018;258980;Woning;GM1680;Aa en Hunze;2018JJ00;2018;11165;85;7;1;92;11257
