Jaar;Hypotheekrente
1995;7.12
1996;6.25
1997;5.82
1998;5.56
1999;5.14
2000;5.88
2001;5.88
2002;5.33
2003;3.85
2004;4.15
2005;3.2
2006;3.7
2007;3.84
2008;5.34
2009;4.86
2010;4.52
2011;4.22
2012;3.65
2013;3.51
2014;3.1
2015;2.28
2016;1.62
2017;2.23
2018;1.68
2019;1.94
2020;1.88
2021;1.43
2022;2.22
